Id;Timestamp;MMSI;Class;Vessel_IMO
226;2020-11-18 00:00:01;2655135;Base Station;\N
227;2020-11-18 00:00:01;2614700;Base Station;\N
228;2020-11-18 00:00:01;244224000;Class A;9505546
229;2020-11-18 00:00:01;219922000;Class A;9239068
230;2020-11-18 00:00:01;219000000;Class A;\N
231;2020-11-18 00:00:02;992111842;AtoN;\N
232;2020-11-18 00:00:02;992111842;AtoN;\N
233;2020-11-18 00:00:02;235090202;Class A;9298935
234;2020-11-18 00:00:02;219002587;Class A;\N
235;2020-11-18 00:00:02;245693000;Class A;\N
236;2020-11-18 00:00:02;636018490;Class A;9242625
237;2020-11-18 00:00:02;273411400;Class A;7811018
238;2020-11-18 00:00:02;230916000;Class A;9173692
239;2020-11-18 00:00:02;219016747;Class A;9634139
240;2020-11-18 00:00:02;992111926;AtoN;\N
241;2020-11-18 00:00:02;235104985;Class A;\N
242;2020-11-18 00:00:02;273310900;Class A;8873336
243;2020-11-18 00:00:02;245693000;Class A;\N
244;2020-11-18 00:00:02;258687000;Class A;9759903
245;2020-11-18 00:00:02;219330000;Class A;8516213
246;2020-11-18 00:00:02;219017895;Class A;\N
247;2020-11-18 00:00:02;2190077;Base Station;\N
248;2020-11-18 00:00:02;219001682;Class A;\N
249;2020-11-18 00:00:02;220272000;Class A;9292864
250;2020-11-18 00:00:02;304099000;Class A;9019200
251;2020-11-18 00:00:02;219008904;Class A;\N
252;2020-11-18 00:00:02;219106000;Class A;9212670
253;2020-11-18 00:00:02;219159000;Class A;9192076
254;2020-11-18 00:00:02;244239000;Class A;9421647
255;2020-11-18 00:00:02;219007572;Class A;\N
256;2020-11-18 00:00:02;265411000;Class A;9087350
257;2020-11-18 00:00:02;244089000;Class A;9229063
258;2020-11-18 00:00:02;219022265;Class A;\N
259;2020-11-18 00:00:02;212801000;Class A;9434149
261;2020-11-18 00:00:02;219007362;Class A;8642713
262;2020-11-18 00:00:02;219000741;Class A;\N
263;2020-11-18 00:00:02;215211000;Class A;8712166
264;2020-11-18 00:00:02;211301380;Class A;9199933
265;2020-11-18 00:00:02;219015298;Class A;9372652
266;2020-11-18 00:00:02;304099000;Class A;9019200
267;2020-11-18 00:00:02;304010366;Class A;6617855
268;2020-11-18 00:00:02;219000734;Class A;9107370
269;2020-11-18 00:00:02;209071000;Class A;9158692
270;2020-11-18 00:00:02;220067000;Class A;\N
271;2020-11-18 00:00:02;2190052;Base Station;\N
272;2020-11-18 00:00:02;271045707;Class A;\N
273;2020-11-18 00:00:02;2655021;Base Station;\N
274;2020-11-18 00:00:02;219191000;Class A;8503967
275;2020-11-18 00:00:02;2655150;Base Station;\N
276;2020-11-18 00:00:02;538007450;Class A;9575151
277;2020-11-18 00:00:02;219025245;Class A;\N
278;2020-11-18 00:00:02;258763000;Class A;9082403
279;2020-11-18 00:00:02;257403000;Class A;9435715
280;2020-11-18 00:00:02;253665000;Class A;9810939
281;2020-11-18 00:00:02;219024194;Class A;9364538
282;2020-11-18 00:00:02;605086070;Class A;9697325
283;2020-11-18 00:00:02;244860678;Class A;\N
284;2020-11-18 00:00:02;219011225;Class A;\N
285;2020-11-18 00:00:02;218728000;Class A;8714841
286;2020-11-18 00:00:02;992191519;AtoN;\N
287;2020-11-18 00:00:02;219002415;Class A;\N
288;2020-11-18 00:00:02;219000431;Class A;9144421
289;2020-11-18 00:00:02;244264000;Class A;9142631
290;2020-11-18 00:00:02;266473000;Class A;9297137
291;2020-11-18 00:00:02;249934000;Class A;9171058
292;2020-11-18 00:00:02;219001343;Class A;\N
293;2020-11-18 00:00:02;219456000;Class A;9646481
294;2020-11-18 00:00:02;219018636;Class A;\N
295;2020-11-18 00:00:02;265756000;Class A;5045201
